  NC rank    NC index    NC phen. index  NC phen. seq.    modularity: Louvain    modularity: spinglass
      311         342                30  .((.(...).))     0.485628689035         0.490896768753
      312         409                42  (.((...)).).     0.475                  0.475
      313         275                22  (((.....))).     0.4234375              0.475
      314         269                22  (((.....))).     0.424365234375         0.475
      315         228                17  (((....)))..     0.449267578125         0.467065429688
      316         227                17  (((....)))..     0.434790039062         0.475
      317         209                15  ((((...)))).     0.399926757812         0.475
      318         203                15  ((((...)))).     0.40419921875          0.467456054688
      319         166                13  .(((.....)))     0.45625                0.467456054688
      320          90                 6  .(((....))).     0.549387755102         0.560408163265
      321         272                22  (((.....))).     0.469833711262         0.474867724868
      322         410                42  (.((...)).).     0.473815024855         0.4656338408
      323          79                 5  .((((...))))     0.436793546329         0.475167318828
      324          58                 5  .((((...))))     0.466802025718         0.473815024855
      325         426                46  (.((....))).     0.548338128352         0.555971605777
      326         419                45  ((.(...).)).     0.431790212029         0.472075363407
      327         379                37  ((((...)).))     0.454683943729         0.490204248339
      328         407                42  (.((...)).).     0.476502529247         0.476502529247
      329         317                28  ((.(....).))     0.600822482639         0.600822482639
      330         420                45  ((.(...).)).     0.472080384604         0.507106811192
      331         400                41  (.((....)).)     0.598292871901         0.595911673554
      332         364                34  ((....))....     0.433635670367         0.47447695816
      333         422                45  ((.(...).)).     0.433127299429         0.48805621584
      334         424                45  ((.(...).)).     0.405892724782         0.491756699086
      335         397                41  (.((....)).)     0.5528                 0.5528
      336         365                35  ((.(....))).     0.5                    0.5
      337         416                44  (.(.....).).     0.498415572657         0.499086229734
      338         421                45  ((.(...).)).     0.463431557556         0.498014225577
      339         411                42  (.((...)).).     0.442618667441         0.498014225577
      340         418                45  ((.(...).)).     0.389755081651         0.474952332036
      341         374                36  ((.((...))))     0.505559763956         0.509356675925
      342         327                28  ((.(....).))     0.661517950052         0.653656672737
      343           7                 2  ...((....)).     0.550106437133         0.561062520246
      344         408                42  (.((...)).).     0.506240224712         0.506240224712
      345         428                46  (.((....))).     0.474489795918         0.513605442177
      346         343                30  .((.(...).))     0.461798469388         0.453144132653
      347         276                22  (((.....))).     0.36181640625          0.416666666667
      348         167                13  .(((.....)))     0.331163194444         0.416666666667
      349          20                 3  ..(((....)))     0.36181640625          0.416666666667
      350         398                41  (.((....)).)     0.56409951325          0.556203353164
      351         380                37  ((((...)).))     0.364544391773         0.41619455043
      352         377                37  ((((...)).))     0.372907593685         0.41619455043
      353         316                28  ((.(....).))     0.56409951325          0.56409951325
      354          80                 5  .((((...))))     0.354421191917         0.41619455043
      355          73                 5  .((((...))))     0.364236070965         0.404491206434
      356          65                 5  .((((...))))     0.381771816909         0.402435734382
      357         373                36  ((.((...))))     0.413634112231         0.416219917254
      358         372                36  ((.((...))))     0.413568556611         0.40571645009
      359         313                28  ((.(....).))     0.536025879816         0.559356925792
      360         405                42  (.((...)).).     0.368873082692         0.41949323398
      361         321                28  ((.(....).))     0.555433485243         0.551445855035
      362         378                37  ((((...)).))     0.377452756431         0.400326080738
      363         369                35  ((.(....))).     0.520679012346         0.520679012346
      364         349                31  ((......))..     0.493343195266         0.477706638314
      365         412                42  (.((...)).).     0.467846513605         0.467846513605
      366         319                28  ((.(....).))     0.48347107438          0.464876033058
      367         215                16  .((....))...     0.416666666667         0.416666666667
